,,,,,,,,
,Year,Salary (14),Type of Organization/Industry (15),Location of employment (17),,,,
,2011,"$51,630",Government Library,MD,,,,
,2011,"$52,000",Academic library,DC,,,,
,2011,"$52,500",Computer: Software/Internet,MI,,,,
,2011,"$52,500",Government Library,DC,,,,
,2011,"$52,500",University/College,MI,,,,
,2011,"$53,500",University/College,MI,,,,
,2011,"$55,000",Academic library,MI,,,,
,2011,"$55,000",Computer: Software/Internet,MI,,,,
,2011,"$55,000",Computer: Software/Internet,MI,,,,
,2011,"$55,500","Computer: Software/Internet,",MI,,,,
,2011,"$57,500",Advertising/PR/Marketing,MI,,,,
,2011,"$57,500","Computer: Software/Internet, ",MI,,,,
,2011,"$57,500","Computer: Software/Internet, ",MI,,,,
,2011,"$60,000",Healthcare,MI,,,,
,2011,"$60,000",Automotive/Transporation,MI,,,,
,2011,"$60,000",University/College,MA,,,,
,2011,"$60,000",University/College,MI,,,,
,2011,"$62,500",Consulting,IL,,,,
,2011,"$62,500",Computer: Software/Internet,MI,,,,
,2011,"$65,000",Defense/Aerospace,WA,,,,
,2011,"$65,000",Financial Services/Banking,CA,,,,
,2011,"$65,000",Nonprofit,Ukraine,,,,
,2011,"$65,000",Consulting,VA,,,,
,2011,"$65,000",University/College,MI,,,,
,2011,"$66,000",Computer: Software/Internet,MI,,,,
,2011,"$70,000",startup,MI,,,,
,2011,"$70,000",University/College,NY,,,,
,2011,"$70,000",Consulting,CA,,,,
,2011,"$70,100",Computer: Software/Internet,IL,,,,
,2011,"$72,000",Multimedia/Publishing,MI,,,,
,2011,"$72,500",Computer: Software/Internet,DC,,,,
,2011,"$75,000",Consulting,IL,,,,
,2011,"75,000",Multimedia Publishing,MA,,,,
,2011,"$75,000",University/College,OH,,,,
,2011,"$80,000",Automotive/Transporation,MI,,,,
,2011,"$80,000","Computer: Software/Internet, ",MI,,,,
,2011,"$80,000",Consulting,DC,,,,
,2011,"$82,500",Advertising/PR/Marketing,NY,,,,
,2011,"$85,000",Computer: Software/Internet,VA,,,,
,2011,"$90,000",Computer: Software/Internet,CA,,,,
,2011,"$90,000",Computer: Software/Internet,CA,,,,
,2011,"$90,000",Computer: Software/Internet,CA,,,,
,2011,"$90,000",University/College,MI,,,,
,2011,"$95,000",Computer: Software/Internet,CA,,,,
,2011,"$95,000","Computer: Software/Internet,",MI,,,,
,2011,"$101,000",Defense/Aerospace,VA,,,,
,2011,"$110,000",Computer: Software/Internet,CA,,,,
,2011,"$115,000",Computer: Software/Internet,CA,,,,
,2011,"$120,000",Computer: Software/Internet,CA,,,,
,2011,"$129,000",computer: software/internet,CA,,,,
